Reazione,H2,O2,N2,C,H2O,H2O2,CO2,CO,CH4,NH3,NO,N2O,H2CO3,CH3OH,H2NCONH2,NO2,HNO3,NH4NO3,C6H6,C6H5OH,HOC6H4NO2,CH3COOH,H2NC6H4OH,HOC6H4NHCOCH3,
Sintesi acqua,-2,-1,,,2,,,,,,,,,,,,,,,,,,,,
Acqua ossigenata,-1,-1,,,,1,,,,,,,,,,,,,,,,,,,
Combustione C completa,,-1,,-1,,,1,,,,,,,,,,,,,,,,,,
Combustione C incompleta,,-1,,-2,,,,2,,,,,,,,,,,,,,,,,
Sintesi Metano,-2,,,-1,,,,,1,,,,,,,,,,,,,,,,
Ossidazione Azoto,,-1,-1,,,,,,,,2,,,,,,,,,,,,,,
Gas esilarante N2O,,-1,-2,,,,,,,,,2,,,,,,,,,,,,,
Processo Haber (Ammoniaca),-3,,-1,,,,,,,2,,,,,,,,,,,,,,,
Acido Carbonico,,,,,-1,,-1,,,,,,1,,,,,,,,,,,,
Sintesi Metanolo,-2,,,,,,,-1,,,,,,1,,,,,,,,,,,
Sintesi Urea,,,,,1,,-1,,,-2,,,,,1,,,,,,,,,,
Water-Gas Shift,1,,,,-1,,1,-1,,,,,,,,,,,,,,,,,
Steam Reforming Metano,3,,,,-1,,,1,-1,,,,,,,,,,,,,,,,
Ossidazione NO a $NO_2$,,-1,,,,,,,,,-2,,,,,2,,,,,,,,,
Processo Ostwald ($HNO_3$),,,,,-1,,,,,,1,,,,,-3,2,,,,,,,,
Nitrato di Ammonio,,,,,,,,,,-1,,,,,,,-1,1,,,,,,,
Benzene,9,,,,,,,,-6,,,,,,,,,1,,,,,,,
Phenol,,,1,,,,,,,,,-1,,,,,,-1,1,,,,,,
4-Nitrophenol,,,,,1,,,,,,,,,,,-1,,,-1,1,,,,,
Acetic acid,,,,,,,,-1,,,,,-1,,,,,,,,1,,,,
4-Aminophenol,-3,,,,2,,,,,,,,,,,,,,,-1,,1,,,
Paracetamol,,,,,1,,,,,,,,,,,,,,,,-1,-1,1,,
